condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,100,0.99,0.96,7.83,2.9680282881387634,196.75,292.8882427262534,1035.0932509970664,394.73398605305084,0.9549933696760139,0.054403703261715425,4.4487524760934605,0.8232613434452531,5.837217232607372,2.433694944815201,0.5817335444751975,57.40609557434567,77.36786126639797
ADAPTIVE-EIG-COST-AWARE,correct,99,1.0,0.9696969696969697,7.757575757575758,2.8929573495551373,195.1010101010101,293.9118462503957,1026.9169399786476,388.1384357794806,0.9592893786765555,0.03354941009491127,3.7354533573962243,0.0,5.503520086222693,1.994457841395942,0.5698761807100553,57.89693388752263,76.45838588073168
ADAPTIVE-EIG-COST-AWARE,incorrect,1,0.0,0.0,15.0,,360.0,,1844.5480418205261,,0.5296884786223972,,0.0,79.34567085261071,0.0,79.34567085261071,,,
ADAPTIVE-PD-COST-AWARE,all,100,1.0,0.97,7.85,2.5281246293278623,186.45,248.9343905692438,1036.3936643695831,426.3715585390017,0.9515604736984073,0.058346708208686426,3.699480747600191,0.0,5.4520780804027,1.9745661776585024,0.49551242734826106,48.79114055157178,83.56882547364432
ADAPTIVE-PD-COST-AWARE,correct,100,1.0,0.97,7.85,2.5281246293278623,186.45,248.9343905692438,1036.3936643695831,426.3715585390017,0.9515604736984073,0.058346708208686426,3.699480747600191,0.0,5.4520780804027,1.9745661776585024,0.49551242734826106,48.79114055157178,83.56882547364432
ADAPTIVE-PD-EIG-COST-AWARE,all,100,1.0,1.0,7.98,2.2696059374065602,151.05,85.39065013989021,1020.7595436692238,386.66944164061465,0.9596978068797487,0.028780334652974107,3.699480747600191,0.0,3.699480747600191,0.0,0.4448427637316858,16.73656742741848,75.78721056156047
ADAPTIVE-PD-EIG-COST-AWARE,correct,100,1.0,1.0,7.98,2.2696059374065602,151.05,85.39065013989021,1020.7595436692238,386.66944164061465,0.9596978068797487,0.028780334652974107,3.699480747600191,0.0,3.699480747600191,0.0,0.4448427637316858,16.73656742741848,75.78721056156047
EIG,all,100,0.99,0.95,7.42,2.7713541889127127,985.55,1128.244568148039,1289.9475371432304,523.136796742923,0.9457785466759812,0.0752115160300354,4.4487524760934605,0.8232613434452531,6.175196527208826,2.845663854368638,0.5431854210268916,221.13593535701563,102.5348121616129
EIG,correct,99,1.0,0.9595959595959596,7.383838383838384,2.761643516529459,993.8383838383838,1130.9222415669572,1283.0559043595285,521.216611895265,0.946224235153539,0.07546143249570088,3.7354533573962243,0.0,5.891764283573764,2.4581657429368278,0.5440090086099969,222.77744530293108,102.67311135962106
EIG,incorrect,1,0.0,0.0,11.0,,165.0,,1972.219182729721,,0.9016553873977535,,0.0,79.34567085261071,0.0,79.34567085261071,,,
