condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,1000,0.863,0.767,7.563,4.391732951616971,221.84,337.70810052641787,30.18249464273453,16.721691507179795,0.907721573225866,0.15694165969393278,2.270553873568005,1.992721036196059,2.719338698549109,2.5149823140358762,0.27220242844554426,20.931364926270735,1.036421177270287
ADAPTIVE-EIG-COST-AWARE,correct,863,1.0,0.8887601390498262,7.280417149478563,4.163722880410795,208.77172653534183,325.71133653117977,29.246805815956407,16.00970534798397,0.9345435657082958,0.10997223230561387,0.44317208588051926,0.0,2.272556296677905,1.9279810132180728,0.27780015934791885,21.731191961761464,1.0681543475689677
ADAPTIVE-EIG-COST-AWARE,incorrect,137,0.0,0.0,9.343065693430656,5.300441097355483,304.16058394160586,396.76243509881186,36.07665126689159,19.718694825427733,0.7387625986832613,0.2663658298010334,0.0,2.727603208143049,0.0,2.727603208143049,0.8875805983972486,66.43949684531978,3.301976313159674
ADAPTIVE-PD-COST-AWARE,all,1000,0.865,0.77,7.376,4.422689700191976,248.31,371.98705389874567,29.79369255232811,17.026963098824762,0.9096194606158203,0.1512146219502612,2.2582595829235004,1.9788959861169957,2.7087271355719054,2.502074611906835,0.2741211476007679,23.05599646815074,1.0553421065473283
ADAPTIVE-PD-COST-AWARE,correct,865,1.0,0.8901734104046243,7.117919075144509,4.213895149550657,243.27745664739885,372.917184062963,28.78495114607618,16.17948622199872,0.9348126647988751,0.10592223912385931,0.4421519411593664,0.0,2.25876792144156,1.9137360598432025,0.28082239756435656,24.85194671554103,1.0782333093184937
ADAPTIVE-PD-COST-AWARE,incorrect,135,0.0,0.0,9.02962962962963,5.305503676823452,280.55555555555554,365.6892218334772,36.25710971090529,20.61251780485933,0.7481963375169886,0.26034656020961605,0.0,2.766894072093667,0.0,2.766894072093667,0.8949851038181271,61.68809336567265,3.477124418577403
ADAPTIVE-PD-EIG-COST-AWARE,all,1000,0.846,0.745,7.507,4.471458928017224,230.99,332.39344955234196,30.099799388170243,17.031504062054644,0.9012929441908382,0.16435753841940118,2.369231905537802,2.104410523359576,2.7917103385853466,2.604192307852202,0.2771438956580146,20.601959446151252,1.0556235583642473
ADAPTIVE-PD-EIG-COST-AWARE,correct,846,1.0,0.8806146572104019,7.139479905437352,4.219641501802937,219.8049645390071,323.3315714733389,28.604464045934925,15.819366331911136,0.9310205273706536,0.11408920880357268,0.45203717963440226,2.842170943040401e-14,2.3588260797380087,2.01472212739219,0.2843455559082543,21.788082090384563,1.0660067950894998
ADAPTIVE-PD-EIG-COST-AWARE,incorrect,154,0.0,0.0,9.525974025974026,5.230876220915252,292.43506493506493,373.54127481601313,38.314433800709715,20.77504608719684,0.737984272956268,0.2697469309517216,0.0,2.433832399063365,0.0,2.433832399063365,0.8261713954344103,58.99759490257953,3.281237806286772
EIG,all,1000,0.818,0.713,7.449,4.527460314226608,526.44,702.7911437915192,40.058250554323195,23.72874313833027,0.8873473972503927,0.17965318909228722,2.511704434398794,2.26831368430436,2.8810959812886665,2.718070101508431,0.2806148975359632,43.55944638201164,1.4707227368722244
EIG,correct,818,1.0,0.871638141809291,6.880195599022005,4.200346661788435,479.6088019559902,668.6361232998313,37.29559565581436,22.297602503766743,0.9274118100187015,0.1271991492697207,0.467438007518723,0.0,2.467211262774711,2.119775677724107,0.28784888694539346,45.82149507188308,1.528050082306125
EIG,incorrect,182,0.0,0.0,10.005494505494505,5.046192430080932,736.9230769230769,808.4656599583662,52.47501817509368,25.96091191967504,0.7072776739290915,0.25543650106409205,0.0,2.0671367444102935,0.0,2.0671367444102935,0.7331353913454308,117.45782512566862,3.7717276111901996
EIG-COST-AWARE,all,1000,0.813,0.704,7.62,4.4861704967294465,298.505,494.586095013174,41.11662286901474,23.912082282679954,0.8913355627566297,0.16684145555214586,2.534822277303604,2.2952584257955664,2.903088921718407,2.746951459393685,0.2780557281336746,30.65476376208548,1.4820862147682876
EIG-COST-AWARE,correct,813,1.0,0.8659286592865929,7.1931119311193115,4.189577942169725,268.79458794587947,457.36854244251845,39.00339352864621,22.494074812444847,0.925872378105674,0.11673750974252163,0.47029925997891553,2.842170943040401e-14,2.515088399198575,2.170896443863441,0.28799243041770856,31.439605600560917,1.54624722696502
EIG-COST-AWARE,incorrect,187,0.0,0.0,9.475935828877006,5.216104977437174,427.67379679144386,616.4157282294353,50.304085188370976,27.52732311482675,0.7411835259717472,0.24926573193594515,0.0,2.0129783024246284,0.0,2.0129783024246284,0.7476211713450065,88.35049347507622,3.94547457156639
LLM-SELECT,all,1000,0.358,0.112,10.294,5.029598479089644,1129.54,1235.1549684943166,162.4840752761364,82.45445699258472,0.586398052242419,0.3145930035685111,2.9118919626803645,3.020575882533869,1.8080764941320684,2.1050438244359757,0.311737743436824,76.5556980888249,5.110580191647716
LLM-SELECT,correct,358,1.0,0.3128491620111732,10.46927374301676,4.944839148543348,1263.3938547486034,1428.9755605213031,165.11249637803553,80.77115880822477,0.5786531905435329,0.2923431784262953,1.0616800279459397,0.0,4.582822138965138,4.980210752777289,0.512232024617884,148.02646203586332,8.3670212446157
LLM-SELECT,incorrect,642,0.0,0.0,10.19626168224299,5.077445619787492,1054.898753894081,1106.7143458902938,161.01838251214903,83.40478320009275,0.590716838049586,0.32648437477557785,0.0,0.5948207733908747,0.0,0.5948207733908747,0.3927659568226714,85.60992111840105,6.451779483271541
TRUNCATED-EIG-COST-AWARE,all,1000,0.845,0.745,7.411,4.481535804070203,213.095,304.246465693337,24.034963307380675,14.948376104893528,0.9081529210912346,0.14656347156151436,2.3747299022048054,2.1106738997438583,2.7917103385853466,2.604192307852202,0.2777684669065364,18.857391312285603,0.9265099499210725
