condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,1000,0.883,0.708,11.059,3.2857746902846694,223.995,173.5503808976221,48.88708055210113,12.466801283520647,0.821290083441728,0.28723694383389264,2.140332996824128,1.8471925651066243,2.8934781554408033,2.7342791742469643,0.20365442522890415,10.756764051554763,0.7727003489756621
ADAPTIVE-EIG-COST-AWARE,correct,883,1.0,0.8018120045300113,10.537938844847112,3.1470893309575407,214.91506228765573,174.01298798736192,46.98473730470694,11.943587574307259,0.9024457832354228,0.18142142497870642,0.433177694866842,0.0,2.7576562282033166,2.496179771392434,0.20757965710579857,11.47776646282284,0.787790098266272
ADAPTIVE-EIG-COST-AWARE,incorrect,117,0.0,0.0,14.991452991452991,0.09245003270420483,292.5213675213675,154.2496072923296,63.244081299529114,4.292235439426868,0.20880732346025296,0.17826213137687447,0.0,3.179037682387522,0.0,3.179037682387522,0.016752136752136746,27.950347228021787,0.7777619212283555
ADAPTIVE-PD-COST-AWARE,all,1000,0.887,0.72,10.9,3.384590884502211,266.315,284.0304897261808,48.09905420708656,12.770064441686566,0.8327440613562419,0.2757143245212934,2.1121968540650045,1.8159949034783835,2.8630612879881454,2.694677750186969,0.20977911640026917,17.604392140368606,0.791496794255978
ADAPTIVE-PD-COST-AWARE,correct,887,1.0,0.8117249154453213,10.377677564825253,3.240279440577437,258.0608793686584,287.2985892055454,46.158758053247396,12.167980549326302,0.9113153181110765,0.16369481003270286,0.43123266807477023,0.0,2.705125234316938,2.4362733003311945,0.21324395399504364,18.907223362337707,0.8007791710738147
ADAPTIVE-PD-COST-AWARE,incorrect,113,0.0,0.0,15.0,0.0,331.1061946902655,248.69277384929103,63.32952047660287,4.410738823194938,0.21599446187360302,0.1827940719346808,0.0,3.2878700736723907,0.0,3.2878700736723907,0.0,45.8542945065412,0.8132577149699609
ADAPTIVE-PD-EIG-COST-AWARE,all,1000,0.89,0.705,10.954,3.3792459666770784,223.62,185.7910490683389,48.26095935249329,12.843479593828828,0.8193481628999882,0.2882544062049661,2.0905911047522068,1.792093015013748,2.90071061544414,2.7438077734021107,0.2094478349612857,11.515448524989884,0.7960471125285098
ADAPTIVE-PD-EIG-COST-AWARE,correct,890,1.0,0.7921348314606742,10.453932584269664,3.249056492958784,214.57865168539325,186.04617698620785,46.27289984011918,12.079851174354465,0.8975999011286766,0.1862625625039143,0.42978532214206666,2.842170943040401e-14,2.788728300258853,2.5376177749623707,0.2134608973259074,12.22311276199601,0.7936383614225543
ADAPTIVE-PD-EIG-COST-AWARE,incorrect,110,0.0,0.0,15.0,0.0,296.77272727272725,167.3122477292089,64.34616813442923,5.321143281660395,0.18622046268605533,0.15508009839347375,0.0,3.374513358912735,0.0,3.374513358912735,0.0,31.267089910748734,0.9944081660114269
EIG,all,1000,0.885,0.713,10.813,3.496606534521329,475.805,543.7029886941168,51.20419457983971,14.514700554291851,0.8243712923555391,0.2855979498880495,2.126359045164918,1.8316878540128698,2.8810959812886665,2.718070101508431,0.21672191831810522,33.69906037231806,0.899630460814666
EIG,correct,885,1.0,0.8056497175141243,10.268926553672316,3.3525831670009856,473.73446327683615,560.8279902199126,49.050477069919395,14.042619809160234,0.9014044022012325,0.1903637057341023,0.4322029931992546,0.0,2.7368695010710553,2.4726640555108474,0.22088386663147935,36.94997225251515,0.925193502017666
EIG,incorrect,115,0.0,0.0,15.0,0.0,491.7391304347826,388.89804028315615,67.77845541705256,1.984697186244656,0.23155127310824627,0.18216919459833286,0.0,3.2325381011363024,0.0,3.2325381011363024,0.0,71.07926132593856,0.36274497513853604
EIG-COST-AWARE,all,1000,0.88,0.711,11.036,3.3217070517638576,232.045,217.59305989556447,52.31364847445488,13.813518040830877,0.8277613412700271,0.27886161077789595,2.1609499947279716,1.8701057021623058,2.886098360839881,2.7246032404942184,0.20588153606696571,13.486557577382301,0.8561707183735062
EIG-COST-AWARE,correct,880,1.0,0.8079545454545455,10.497727272727273,3.181286911012091,221.625,216.1699291810468,50.18640157472004,13.362472102951898,0.9098054199045176,0.16359706397851842,0.4346480183779562,0.0,2.7342534818580333,2.466549815993446,0.21019267339032546,14.282690179209952,0.8828797316899497
EIG-COST-AWARE,incorrect,120,0.0,0.0,14.983333333333333,0.12855586584927856,308.4583333333333,213.57284376492612,67.9134590725104,2.0237931258369914,0.22610476461709633,0.2007992278736449,0.0,3.1020271055929514,0.0,3.1020271055929514,0.023001562890917576,38.21303030552169,0.36210253460330505
LLM-SELECT,all,1000,0.363,0.118,9.76,5.554210047274882,964.79,1059.667778929652,149.98964894199372,87.9648246817615,0.6173754209026239,0.3095635821182294,2.922756293546499,3.027613314813614,1.854875632805678,2.1472506848059165,0.3442535053066503,65.67888939238588,5.452116319446544
LLM-SELECT,correct,363,1.0,0.325068870523416,10.487603305785123,5.281232856358727,1147.892561983471,1240.8058698512152,160.93925048694138,83.61030505585904,0.5904024756467876,0.287439649351898,1.047209476787799,0.0,4.613605234094411,4.9799843072405565,0.5432979612811584,127.64582016568245,8.601269725164801
LLM-SELECT,incorrect,637,0.0,0.0,9.345368916797488,5.666299308981959,860.447409733124,925.9812044632565,143.7499231008383,89.82095023950643,0.63274618876427,0.3206964342036353,0.0,0.5994617078541717,0.0,0.5994617078541717,0.44003362739884416,71.90987381432994,6.975317821218706
TRUNCATED-EIG-COST-AWARE,all,1000,0.842,0.679,11.118,3.399063051729054,226.325,192.91081866748416,42.06681855249405,13.430572800466036,0.789065926657285,0.31222234443798663,2.391030891192514,2.1292710278834193,2.957404796217318,2.820401826824522,0.21067611061813624,11.956736416628775,0.8324355264715048
TRUNCATED-EIG-COST-AWARE,correct,842,1.0,0.8064133016627079,10.389548693586699,3.218966538334168,217.08432304038004,197.45758289537133,38.942104940459735,12.182512533512941,0.8982253993826019,0.1863176145043152,0.4541748715125635,2.842170943040401e-14,2.8055356452640012,2.5272052014391875,0.21742850901565688,13.337481869256731,0.8228807304089134
TRUNCATED-EIG-COST-AWARE,incorrect,158,0.0,0.0,15.0,0.0,275.56962025316454,158.25780656482127,58.71877337105666,4.62027392835676,0.20734266061477383,0.17283727129260384,0.0,2.3736789552253557,0.0,2.3736789552253557,0.0,24.677017554902175,0.7204357454039214
TRUNCATED-PD-COST-AWARE,all,1000,0.867,0.691,10.993,3.4253005245793666,250.76,250.12213713200896,41.283364432096484,13.446933940287856,0.8069297699205404,0.2966885392221676,2.2458118588337896,1.9649175025927121,2.9325514547424376,2.7863639287423325,0.2123023260335111,15.502730672696027,0.833449600423792
TRUNCATED-PD-COST-AWARE,correct,867,1.0,0.7970011534025375,10.37831603229527,3.2696222955313217,242.69896193771626,258.14700868615427,38.753819583334035,12.526331680460844,0.8996457747449799,0.17928731695941316,0.4411364822259145,2.842170943040401e-14,2.805775372123037,2.543739284064941,0.2176427019086991,17.183578830157515,0.8338163939199005
TRUNCATED-PD-COST-AWARE,incorrect,133,0.0,0.0,15.0,0.0,303.30827067669173,181.84230516089815,57.77295378455542,4.8028363052221525,0.20253295651611303,0.17542488588333405,0.0,2.8073334424619416,0.0,2.8073334424619416,0.0,30.904746034507376,0.8162590994811014
TRUNCATED-PD-EIG-COST-AWARE,all,1000,0.85,0.698,10.95,3.436467562673815,226.67,195.06950867117396,41.151558950424196,13.597707022662837,0.7959644214907454,0.31214848786742644,2.3469114028312674,2.079028501783924,2.9170206680974644,2.7654754840764184,0.21299446622539905,12.090533409237157,0.842794612886715
